OID_,Value,Count,LETT_SYMB,,,,,
0,1,6287,Qa,,,,,
0,2,1247,Sgyy,,,,,
0,3,8720,Cj,,,,Value,LETT_SYMB
0,4,376,Cju,,,,,
0,5,44,Dhm,,,,These two column we need,
0,6,172,Dhb,,,,,
0,7,7596,Sbs,,,,,
0,8,373,Sfvy,,,,,
0,9,15483,Sfv,,,,,
0,10,2327,Dcc,,,,,
0,11,342,Dccd,,,,,
0,12,16,Dcm,,,,,
0,13,2567,Sbd,,,,,
0,14,63,Sba,,,,,
0,15,730,Sbl,,,,,
0,16,692,Sbv,,,,,
0,17,1875,Qr/Sfv,,,,,
0,18,4,Czs,,,,,
0,19,12,Tf,,,,,
0,20,522,Sgxi,,,,,
0,21,27,Qr/Sgxi,,,,,
0,22,1187,Cjw,,,,,
0,23,31,Sbt,,,,,
0,24,1905,Sws,,,,,
0,25,394,Sc,,,,,
0,26,604,Sglu,,,,,
0,27,64,Qr/Sglu,,,,,
0,28,147,Qa/Sglu,,,,,
0,29,39,Snmd,,,,,
0,30,664,Sbsf,,,,,
0,31,349,Snm,,,,,
0,32,424,Sh,,,,,
0,33,136,So,,,,,
0,34,446,Sgmy,,,,,
0,35,217,Qr/Sgmy,,,,,
0,36,49,So(Sh),,,,,
0,37,32,?Sbl,,,,,
